Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-25 04:37:40,Ours,0.00208,3.7977857655977587,1.6,1.6,1,64.9125,1:04.91,63.5257,0.1629,1.2225,64.9126,1:04.91,10,"8,1,5,0,7,2,9,4,3,6",8:18;1:10;5:15;0:10;7:10;2:10;9:15;4:13;3:17;6:14,8:[4];1:[4];5:[4];0:[4];7:[6];2:[4];9:[4];4:[4];3:[4];6:[6],"c8:bw=18,experts=[4]; c1:bw=10,experts=[4]; c5:bw=15,experts=[4]; c0:bw=10,experts=[4]; c7:bw=10,experts=[6]; c2:bw=10,experts=[4]; c9:bw=15,experts=[4]; c4:bw=13,experts=[4]; c3:bw=17,experts=[4]; c6:bw=14,experts=[6]","8.6484,5.1824,7.3622,5.6773,5.5241,4.5418,4.2066,8.0479,6.1857,8.1492"
2,2026-09-25 04:38:42,Ours,0.00406,3.309942105131982,4.68,4.68,2,61.9097,1:01.91,60.5691,0.1531,1.186,126.9763,2:06.98,10,"0,1,8,5,3,4,7,9,6,2",0:12;1:14;8:16;5:20;3:20;4:10;7:18;9:15;6:10;2:10,"0:[4];1:[4];8:[4];5:[4,6];3:[4,6];4:[4];7:[4];9:[4];6:[4];2:[4]","c0:bw=12,experts=[4]; c1:bw=14,experts=[4]; c8:bw=16,experts=[4]; c5:bw=20,experts=[4,6]; c3:bw=20,experts=[4,6]; c4:bw=10,experts=[4]; c7:bw=18,experts=[4]; c9:bw=15,experts=[4]; c6:bw=10,experts=[4]; c2:bw=10,experts=[4]","5.5212,5.0662,6.2915,7.4529,6.1651,7.9496,5.4631,4.2425,7.9777,4.4393"
3,2026-09-25 04:39:44,Ours,0.006040000000000001,3.1961611487005035,6.62,6.62,3,61.9074,1:01.91,60.5619,0.1484,1.1953,188.898,3:08.90,10,"9,2,0,6,8,5,3,7,1,4",9:16;2:14;0:17;6:13;8:10;5:10;3:10;7:11;1:10;4:17,9:[4];2:[4];0:[4];6:[4];8:[4];5:[4];3:[4];7:[4];1:[4];4:[4],"c9:bw=16,experts=[4]; c2:bw=14,experts=[4]; c0:bw=17,experts=[4]; c6:bw=13,experts=[4]; c8:bw=10,experts=[4]; c5:bw=10,experts=[4]; c3:bw=10,experts=[4]; c7:bw=11,experts=[4]; c1:bw=10,experts=[4]; c4:bw=17,experts=[4]","4.1175,4.4160,5.4675,7.8360,6.2575,7.3594,6.1379,5.5201,5.2481,8.2018"
4,2026-09-25 04:40:46,Ours,0.00802,3.100143945429737,9.63,9.63,4,61.7857,1:01.79,60.4588,0.1435,1.1821,250.6979,4:10.70,10,"1,7,6,2,8,0,3,4,5,9",1:13;7:15;6:18;2:20;8:10;0:20;3:11;4:19;5:20;9:10,"1:[4];7:[4];6:[4];2:[4,6];8:[4];0:[4,6];3:[4];4:[4];5:[4,6];9:[4]","c1:bw=13,experts=[4]; c7:bw=15,experts=[4]; c6:bw=18,experts=[4]; c2:bw=20,experts=[4,6]; c8:bw=10,experts=[4]; c0:bw=20,experts=[4,6]; c3:bw=11,experts=[4]; c4:bw=19,experts=[4]; c5:bw=20,experts=[4,6]; c9:bw=10,experts=[4]","5.0749,5.4309,7.8653,4.4388,6.2907,5.7430,6.1826,7.9872,7.3178,4.1276"
5,2026-09-25 04:41:50,Ours,0.01,3.0067332085926415,12.67,12.67,5,63.8447,1:03.84,62.4488,0.1475,1.2443,314.5562,5:14.56,10,"1,5,4,8,0,7,6,3,2,9",1:10;5:13;4:16;8:12;0:17;7:10;6:18;3:20;2:10;9:20,"1:[4];5:[4];4:[4];8:[4];0:[4];7:[4];6:[4];3:[4,6];2:[4];9:[4,6]","c1:bw=10,experts=[4]; c5:bw=13,experts=[4]; c4:bw=16,experts=[4]; c8:bw=12,experts=[4]; c0:bw=17,experts=[4]; c7:bw=10,experts=[4]; c6:bw=18,experts=[4]; c3:bw=20,experts=[4,6]; c2:bw=10,experts=[4]; c9:bw=20,experts=[4,6]","5.0701,7.3255,7.9826,6.6622,5.8230,5.8165,8.2962,6.3718,4.7044,4.3967"
6,2026-09-25 04:42:55,Ours,0.01,2.888607810911757,15.28,15.28,6,65.63,1:05.63,64.2216,0.1569,1.25,380.2029,6:20.20,10,"8,2,5,7,3,1,9,0,4,6",8:20;2:14;5:10;7:19;3:12;1:11;9:16;0:10;4:10;6:10,"8:[4,6];2:[4];5:[4];7:[4];3:[4];1:[4];9:[4];0:[4];4:[4];6:[4]","c8:bw=20,experts=[4,6]; c2:bw=14,experts=[4]; c5:bw=10,experts=[4]; c7:bw=19,experts=[4]; c3:bw=12,experts=[4]; c1:bw=11,experts=[4]; c9:bw=16,experts=[4]; c0:bw=10,experts=[4]; c4:bw=10,experts=[4]; c6:bw=10,experts=[4]","6.6307,4.6512,7.8863,5.9834,6.5404,5.4254,4.4204,5.8676,8.4851,8.3310"
7,2026-09-25 04:44:01,Ours,0.01,2.769376771150994,18.42,18.42,7,65.7939,1:05.79,64.3426,0.1609,1.2888,446.2198,7:26.22,10,"0,5,2,6,3,7,4,1,8,9",0:12;5:16;2:13;6:10;3:10;7:10;4:10;1:10;8:19;9:10,0:[4];5:[4];2:[4];6:[4];3:[4];7:[4];4:[4];1:[4];8:[4];9:[4],"c0:bw=12,experts=[4]; c5:bw=16,experts=[4]; c2:bw=13,experts=[4]; c6:bw=10,experts=[4]; c3:bw=10,experts=[4]; c7:bw=10,experts=[4]; c4:bw=10,experts=[4]; c1:bw=10,experts=[4]; c8:bw=19,experts=[4]; c9:bw=10,experts=[4]","5.8186,7.9730,4.8329,8.2623,6.3389,5.8745,8.5917,5.3259,6.6628,4.6619"
8,2026-09-25 04:45:07,Ours,0.01,2.6668600184996345,19.39,19.39,8,66.0334,1:06.03,64.6176,0.1523,1.258,512.2681,8:32.27,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:12;1:19;3:12;0:11;5:10;2:18;9:20;7:10;6:14,"4:[4];8:[4];1:[4];3:[4];0:[4];5:[4];2:[4];9:[4,6];7:[4];6:[4]","c4:bw=10,experts=[4]; c8:bw=12,experts=[4]; c1:bw=19,experts=[4]; c3:bw=12,experts=[4]; c0:bw=11,experts=[4]; c5:bw=10,experts=[4]; c2:bw=18,experts=[4]; c9:bw=20,experts=[4,6]; c7:bw=10,experts=[4]; c6:bw=14,experts=[4]","8.6590,6.6470,5.3977,6.3853,5.9250,7.9036,4.6814,4.4734,5.9807,8.5645"
9,2026-09-25 04:46:13,Ours,0.01,2.575678682521569,22.8,22.8,9,65.7606,1:05.76,64.3495,0.1583,1.2514,578.0468,9:38.05,10,"2,0,4,9,8,6,7,5,1,3",2:10;0:17;4:20;9:10;8:10;6:10;7:15;5:17;1:10;3:10,"2:[4];0:[4];4:[4,6];9:[4];8:[4];6:[4];7:[4];5:[4];1:[4];3:[4]","c2:bw=10,experts=[4]; c0:bw=17,experts=[4]; c4:bw=20,experts=[4,6]; c9:bw=10,experts=[4]; c8:bw=10,experts=[4]; c6:bw=10,experts=[4]; c7:bw=15,experts=[4]; c5:bw=17,experts=[4]; c1:bw=10,experts=[4]; c3:bw=10,experts=[4]","4.6996,5.7821,8.4180,4.4806,6.5518,8.4249,5.9112,7.9639,5.5824,6.5348"
10,2026-09-25 04:47:18,Ours,0.01,2.4981833305499554,25.38,25.38,10,65.2874,1:05.29,63.8693,0.1586,1.258,643.3506,10:43.35,10,"4,2,7,0,6,3,5,8,9,1",4:12;2:11;7:12;0:20;6:20;3:15;5:19;8:12;9:12;1:14,"4:[4];2:[4];7:[4];0:[4,6];6:[4,6];3:[4];5:[4];8:[4];9:[4];1:[4]","c4:bw=12,experts=[4]; c2:bw=11,experts=[4]; c7:bw=12,experts=[4]; c0:bw=20,experts=[4,6]; c6:bw=20,experts=[4,6]; c3:bw=15,experts=[4]; c5:bw=19,experts=[4]; c8:bw=12,experts=[4]; c9:bw=12,experts=[4]; c1:bw=14,experts=[4]","8.3491,4.6569,5.7221,5.8354,8.3932,6.5846,7.8836,6.6856,4.3764,5.3824"
